date,state,positive,hospitalizedCumulative,death
,,,,
20200511,ID,2230,207,67
,,,,
20200510,ID,2230,207,67
,,,,
20200509,ID,2205,206,67
,,,,
20200508,ID,2178,206,67
,,,,
20200507,ID,2158,205,66
,,,,
20200506,ID,2127,203,65
,,,,
20200505,ID,2106,201,64
,,,,
20200504,ID,2061,200,64
,,,,
20200503,ID,2061,200,63
,,,,
20200502,ID,2035,178,63
,,,,
20200501,ID,2015,178,63
,,,,
20200430,ID,1984,175,60
,,,,
20200429,ID,1952,173,60
,,,,
20200428,ID,1917,172,58
,,,,
20200427,ID,1897,169,56
,,,,
20200426,ID,1887,169,56
,,,,
20200425,ID,1870,168,54
,,,,
20200424,ID,1836,166,54
,,,,
20200423,ID,1802,162,54
,,,,
20200422,ID,1766,158,51
,,,,
20200421,ID,1736,157,48
,,,,
20200420,ID,1672,151,45
,,,,
20200419,ID,1668,151,44
,,,,
20200418,ID,1655,151,43
,,,,
20200417,ID,1609,148,41
,,,,
20200416,ID,1587,143,41
,,,,
20200415,ID,1464,141,39
,,,,
20200414,ID,1453,135,33
,,,,
20200413,ID,1426,132,27
,,,,
20200412,ID,1407,131,27
,,,,
20200411,ID,1396,128,25
,,,,
20200410,ID,1353,127,24
,,,,
20200409,ID,1232,113,18
,,,,
20200408,ID,1210,93,15
,,,,
20200407,ID,1170,83,13
,,,,
20200406,ID,1101,77,10
,,,,
20200405,ID,1077,66,10
,,,,
20200404,ID,1013,62,10
,,,,
20200403,ID,891,56,9
,,,,
20200402,ID,669,49,9
,,,,
20200401,ID,525,46,9
,,,,
20200331,ID,415,45,7
,,,,
20200330,ID,310,39,6
,,,,
20200329,ID,261,36,5
,,,,
20200328,ID,230,25,4
,,,,
20200327,ID,189,,3
,,,,
20200326,ID,123,,0
,,,,
20200325,ID,73,,0
,,,,
20200324,ID,50,,0
,,,,
20200323,ID,47,,0
,,,,
20200322,ID,42,,0
,,,,
20200321,ID,31,,
,,,,
20200320,ID,23,,
,,,,
20200319,ID,11,,
,,,,
20200318,ID,9,,
,,,,
20200317,ID,7,,
,,,,
20201202,IL,748603,,13397
,,,,
20201201,IL,738846,,13131
,,,,
20201130,IL,726304,,12985
,,,,
20201129,IL,720114,,12882
,,,,
20201128,IL,712936,,12838
,,,,
20201127,IL,705063,,12686
,,,,
20201126,IL,697489,,12596
,,,,
20201125,IL,685467,,12440
,,,,
20201124,IL,674089,,12262
,,,,
20201123,IL,664620,,12112
,,,,
20201122,IL,656298,,12051
,,,,
20201121,IL,646286,,11952
,,,,
20201120,IL,634395,,11795
,,,,
20201119,IL,621383,,11648
,,,,
20201118,IL,606771,,11468
,,,,
20201117,IL,597849,,11317
,,,,
20201116,IL,585248,,11204
,,,,
20201115,IL,573616,,11162
,,,,
20201114,IL,562985,,11088
,,,,
20201113,IL,551957,,10891
,,,,
20201112,IL,536542,,10846
,,,,
20201111,IL,523840,,10798
,,,,
20201110,IL,511183,,10645
,,,,
20201109,IL,498560,,10563
,,,,
20201108,IL,487987,,10538
,,,,
20201107,IL,477978,,10488
,,,,
20201106,IL,465540,,10397
,,,,
20201105,IL,453750,,10313
,,,,
20201104,IL,443815,,10216
,,,,
20201103,IL,436277,,10161
,,,,
20201102,IL,429761,,10093
,,,,
20201101,IL,423539,,10075
,,,,
20201031,IL,416559,,10050
,,,,
20201030,IL,408660,,9994
,,,,
20201029,IL,400171,,9945
,,,,
20201028,IL,393808,,9889
,,,,
20201027,IL,387698,,9838
,,,,
20201026,IL,383698,,9792
,,,,
20201025,IL,378969,,9775
,,,,
20201024,IL,374907,,9751
,,,,
20201023,IL,368746,,9688
,,,,
20201022,IL,363746,,9647
,,,,
20201021,IL,358804,,9605
,,,,
20201020,IL,354462,,9537
,,,,
20201019,IL,350748,,9496
,,,,
20201018,IL,347635,,9474
,,,,
20201017,IL,343390,,9452
,,,,
20201016,IL,339761,,9425
,,,,
20201015,IL,334658,,9373
,,,,
20201014,IL,330643,,9320
,,,,
20201013,IL,327781,,9272
,,,,
20201012,IL,324930,,9243
,,,,
20201011,IL,322188,,9230
,,,,
20201010,IL,319461,,9221
,,,,
20201009,IL,316556,,9191
,,,,
20201008,IL,313439,,9159
,,,,
20201007,IL,310380,,9127
,,,,
20201006,IL,307750,,9085
,,,,
20201005,IL,306133,,9054
,,,,
20201004,IL,304280,,9040
,,,,
20201003,IL,302827,,9023
,,,,
20201002,IL,300385,,8992
,,,,
20201001,IL,297929,,8940
,,,,
20200930,IL,295763,,8916
,,,,
20200929,IL,293490,,8881
,,,,
20200928,IL,292128,,8858
,,,,
20200927,IL,290419,,8845
,,,,
20200926,IL,288815,,8832
,,,,
20200925,IL,286374,,8807
,,,,
20200924,IL,283569,,8774
,,,,
20200923,IL,281312,,8744
,,,,
20200922,IL,279464,,8722
,,,,
20200921,IL,277933,,8693
,,,,
20200920,IL,276456,,8686
,,,,
20200919,IL,275054,,8672
,,,,
20200918,IL,272525,,8647
,,,,
20200917,IL,270302,,8624
,,,,
20200916,IL,268246,,8599
,,,,
20200915,IL,266305,,8564
,,,,
20200914,IL,264839,,8546
,,,,
20200913,IL,263466,,8541
,,,,
20200912,IL,262004,,8527
,,,,
20200911,IL,259883,,8505
,,,,
20200910,IL,257571,,8461
,,,,
20200909,IL,255618,,8433
,,,,
20200908,IL,254281,,8405
,,,,
20200907,IL,252889,,8398
,,,,
20200906,IL,251508,,8390
,,,,
20200905,IL,250105,,8385
,,,,
20200904,IL,247299,,8362
,,,,
20200903,IL,241705,,8324
,,,,
20200902,IL,240345,,8300
,,,,
20200901,IL,238217,,8273
,,,,
20200831,IL,236725,,8235
,,,,
20200830,IL,235057,,8228
,,,,
20200829,IL,233065,,8217
,,,,
20200828,IL,231185,,8206
,,,,
20200827,IL,228751,,8186
,,,,
20200826,IL,227044,,8163
,,,,
20200825,IL,224887,,8126
,,,,
20200824,IL,223207,,8097
,,,,
20200823,IL,221595,,8089
,,,,
20200822,IL,219702,,8083
,,,,
20200821,IL,217346,,8066
,,,,
20200820,IL,215053,,8044
,,,,
20200819,IL,213221,,8017
,,,,
20200818,IL,210926,,7993
,,,,
20200817,IL,209186,,7967
,,,,
20200816,IL,207413,,7955
,,,,
20200815,IL,205851,,7937
,,,,
20200814,IL,204023,,7932
,,,,
20200813,IL,201727,,7905
,,,,
20200812,IL,199893,,7881
,,,,
20200811,IL,198248,,7866
,,,,
20200810,IL,196699,,7846
,,,,
20200809,IL,195380,,7845
,,,,
20200808,IL,193998,,7840
,,,,
20200807,IL,191808,,7822
,,,,
20200806,IL,189705,,7791
,,,,
20200805,IL,187752,,7770
,,,,
20200804,IL,185993,,7742
,,,,
20200803,IL,184522,,7723
,,,,
20200802,IL,183224,,7714
,,,,
20200801,IL,181757,,7700
,,,,
20200731,IL,180118,,7692
,,,,
20200730,IL,178138,,7670
,,,,
20200729,IL,176366,,7654
,,,,
20200728,IL,174973,,7638
,,,,
20200727,IL,173897,,7608
,,,,
20200726,IL,172666,,7590
,,,,
20200725,IL,171125,,7589
,,,,
20200724,IL,169699,,7577
,,,,
20200723,IL,168100,,7560
,,,,
20200722,IL,166476,,7540
,,,,
20200721,IL,164878,,7517
,,,,
20200720,IL,163923,,7494
,,,,
20200719,IL,162750,,7488
,,,,
20200718,IL,161785,,7483
,,,,
20200717,IL,160509,,7465
,,,,
20200716,IL,159082,,7452
,,,,
20200715,IL,157825,,7427
,,,,
20200714,IL,156638,,7419
,,,,
20200713,IL,155931,,7394
,,,,
20200712,IL,155048,,7388
,,,,
20200711,IL,154094,,7369
,,,,
20200710,IL,152899,,7345
,,,,
20200709,IL,151572,,7329
,,,,
20200708,IL,150554,,7309
,,,,
20200707,IL,149574,,7273
,,,,
20200706,IL,148987,,7236
,,,,
20200705,IL,148373,,7230
,,,,
20200704,IL,147734,,7224
,,,,
20200703,IL,146872,,7215
,,,,
20200702,IL,145935,,7188
,,,,
20200701,IL,145066,,7152
,,,,
20200630,IL,144238,,7124
,,,,
20200629,IL,143514,,7103
,,,,
20200628,IL,142776,,7089
,,,,
20200627,IL,142130,,7074
,,,,
20200626,IL,141344,,7048
,,,,
20200625,IL,140434,,7014
,,,,
20200624,IL,139540,,6974
,,,,
20200623,IL,138825,,6911
,,,,
20200622,IL,138224,,6875
,,,,
20200621,IL,137762,,6851
,,,,
20200620,IL,137104,,6829
,,,,
20200619,IL,136470,,6718
,,,,
20200618,IL,135639,,6718
,,,,
20200617,IL,135046,,6666
,,,,
20200616,IL,134500,,6579
,,,,
20200615,IL,133877,,6507
,,,,
20200614,IL,133404,,6489
,,,,
20200613,IL,132732,,6470
,,,,
20200612,IL,132059,,6441
,,,,
20200611,IL,131327,,6363
,,,,
20200610,IL,130561,,6273
,,,,
20200609,IL,129936,,6196
,,,,
20200608,IL,129139,,6102
,,,,
20200607,IL,127757,,5904
,,,,
20200606,IL,126890,,5864
,,,,
20200605,IL,125915,,5795
,,,,
20200604,IL,124759,,5736
,,,,
20200603,IL,123830,,5621
,,,,
20200602,IL,122848,,5525
,,,,
20200601,IL,121234,,5412
,,,,
20200531,IL,120260,,5390
,,,,
20200530,IL,118917,,5330
,,,,
20200529,IL,117455,,5270
,,,,
20200528,IL,115833,,5186
,,,,
20200527,IL,114306,,5083
,,,,
20200526,IL,113195,,4923
,,,,
20200525,IL,112017,,4884
,,,,
20200524,IL,110304,,4856
,,,,
20200523,IL,107796,,4790
,,,,
20200522,IL,105444,,4715
,,,,
20200521,IL,102686,,4607
,,,,
20200520,IL,100418,,4525
,,,,
20200519,IL,98030,,4379
,,,,
20200518,IL,96485,,4234
,,,,
20200517,IL,94191,,4177
,,,,
20200516,IL,92457,,4129
,,,,
20200515,IL,90369,,4058
,,,,
20200514,IL,87937,,3928
,,,,
20200513,IL,84698,,3792
,,,,
20200512,IL,83021,,3601
,,,,
20200511,IL,79007,,3459
,,,,
20200510,IL,77741,,3406
,,,,
20200509,IL,76085,,3349
,,,,
20200508,IL,73760,,3241
,,,,
20200507,IL,70873,,3111
,,,,
20200506,IL,68232,,2974
,,,,
20200505,IL,65962,,2838
,,,,
20200504,IL,63840,,2662
,,,,
20200503,IL,61499,,2618
,,,,
20200502,IL,58505,,2559
,,,,
20200501,IL,56055,,2457
,,,,
20200430,IL,52918,,2355
,,,,
20200429,IL,50355,,2215
,,,,
20200428,IL,48102,,2125
,,,,
20200427,IL,45883,,1983
,,,,
20200426,IL,43903,,1933
,,,,
20200425,IL,41777,,1874
,,,,
20200424,IL,39658,,1795
,,,,
20200423,IL,36934,,1688
,,,,
20200422,IL,35108,,1565
,,,,
20200421,IL,33059,,1468
,,,,
20200420,IL,31508,,1349
,,,,
20200419,IL,30357,,1290
,,,,
20200418,IL,29160,,1259
,,,,
20200417,IL,27575,,1134
,,,,
20200416,IL,25733,,1072
,,,,
20200415,IL,24593,,948
,,,,
20200414,IL,23247,,868
,,,,
20200413,IL,22025,,794
,,,,
20200412,IL,20852,,720
,,,,
20200411,IL,19180,,677
,,,,
20200410,IL,17887,,596
,,,,
20200409,IL,16422,,528
,,,,
20200408,IL,15078,,462
,,,,
20200407,IL,13549,,380
,,,,
20200406,IL,12262,,307
,,,,
20200405,IL,11256,,274
,,,,
20200404,IL,10357,,243
,,,,
20200403,IL,8904,,210
,,,,
20200402,IL,7695,,157
,,,,
20200401,IL,6980,,141
,,,,
20200331,IL,5994,,99
,,,,
20200330,IL,5057,,73
,,,,
20200329,IL,4596,,65
,,,,
20200328,IL,3491,,47
,,,,
20200327,IL,3026,,34
,,,,
20200326,IL,2538,,26
,,,,
20200325,IL,1865,,19
,,,,
20200324,IL,1535,,16
,,,,
20200323,IL,1273,,12
,,,,
20200322,IL,1049,,9
,,,,
20200321,IL,753,,6
,,,,
20200320,IL,585,,5
,,,,
20200319,IL,422,,4
,,,,
20200318,IL,288,,1
,,,,
20200317,IL,159,,1
,,,,
20201202,IN,350970,26854,5973
,,,,
20201201,IN,344373,26424,5864
,,,,
20201130,IN,338977,26018,5723
,,,,
20201129,IN,333312,25632,5685
,,,,
20201128,IN,329008,25329,5663
,,,,
20201127,IN,324537,24940,5594
,,,,
20201126,IN,318894,24574,5561
,,,,
20201125,IN,312521,24217,5498
,,,,
20201124,IN,306538,23884,5435
,,,,
20201123,IN,300913,23526,5332
,,,,
20201122,IN,295357,23209,5305
,,,,
20201121,IN,289183,22874,5246
,,,,
20201120,IN,282311,22512,5206
,,,,
20201119,IN,275503,22160,5143
,,,,
20201118,IN,268222,21737,5084
,,,,
20201117,IN,262207,21389,5025
,,,,
20201116,IN,256744,21043,4936
,,,,
20201115,IN,251597,20704,4910
,,,,
20201114,IN,244887,20383,4888
,,,,
20201113,IN,236565,20088,4863
,,,,
20201112,IN,230965,19573,4813
,,,,
20201111,IN,224374,19284,4762
,,,,
20201110,IN,219338,19023,4731
,,,,
20201109,IN,214509,18738,4664
,,,,
20201108,IN,210374,18505,4629
,,,,
20201107,IN,205722,18273,4592
,,,,
20201106,IN,200823,18005,4547
,,,,
20201105,IN,196176,17798,4511
,,,,
20201104,IN,191764,17613,4464
,,,,
20201103,IN,188066,17384,4439
,,,,
20201102,IN,185185,17155,4390
,,,,
20201101,IN,182108,17023,4364
,,,,
20201031,IN,179358,16847,4332
,,,,
20201030,IN,175893,16685,4286
,,,,
20201029,IN,172730,16469,4260
,,,,
20201028,IN,169112,16273,4227
,,,,
20201027,IN,166564,16064,4194
,,,,
20201026,IN,164581,15905,4143
,,,,
20201025,IN,162607,15767,4130
,,,,
20201024,IN,160454,15627,4118
,,,,
20201023,IN,157713,15498,4092
,,,,
20201022,IN,155246,15304,4065
,,,,
20201021,IN,152396,15163,4023
,,,,
20201020,IN,150664,14983,4008
,,,,
20201019,IN,149166,14826,3960
,,,,
20201018,IN,147582,14715,3937
,,,,
20201017,IN,145977,14604,3918
,,,,
20201016,IN,143495,14473,3887
,,,,
20201015,IN,141212,14353,3864
,,,,
20201014,IN,139269,14228,3836
,,,,
20201013,IN,138104,14115,3822
,,,,
20201012,IN,136555,13984,3795
,,,,
20201011,IN,134981,13860,3789
,,,,
20201010,IN,133411,13756,3782
,,,,
20201009,IN,131493,13648,3761
,,,,
20201008,IN,129677,13537,3742
,,,,
20201007,IN,128227,13430,3727
,,,,
20201006,IN,126946,13324,3711
,,,,
20201005,IN,125976,13239,3681
,,,,
20201004,IN,125146,13148,3674
,,,,
20201003,IN,124059,13068,3669
,,,,
20201002,IN,122640,12983,3656
,,,,
20201001,IN,121176,12911,3645
,,,,
20200930,IN,120019,12814,3632
,,,,
20200929,IN,119066,12758,3612
,,,,
20200928,IN,118322,12654,3591
,,,,
20200927,IN,117450,12596,3580
,,,,
20200926,IN,116549,12521,3577
,,,,
20200925,IN,115407,12463,3566
,,,,
20200924,IN,114236,12388,3548
,,,,
20200923,IN,113337,12312,3530
,,,,
20200922,IN,112626,12265,3520
,,,,
20200921,IN,112027,12184,3512
,,,,
20200920,IN,111505,12143,3506
,,,,
20200919,IN,110759,12091,3503
,,,,
20200918,IN,109683,12035,3495
,,,,
20200917,IN,108646,11982,3478
,,,,
20200916,IN,107809,11918,3472
,,,,
20200915,IN,107229,11858,3460
,,,,
20200914,IN,106540,11796,3439
,,,,
20200913,IN,105804,11749,3438
,,,,
20200912,IN,104561,11710,3437
,,,,
20200911,IN,103505,11651,3420
,,,,
20200910,IN,102243,11591,3410
,,,,
20200909,IN,101485,11528,3397
,,,,
20200908,IN,100780,11467,3380
,,,,
20200907,IN,100394,11410,3368
,,,,
20200906,IN,99804,11365,3364
,,,,
20200905,IN,98961,11318,3362
,,,,
20200904,IN,97884,11265,3350
,,,,
20200903,IN,96854,11196,3332
,,,,
20200902,IN,95750,11143,3325
,,,,
20200901,IN,94891,11094,3312
,,,,
20200831,IN,94196,11043,3296
,,,,
20200830,IN,93313,10843,3291
,,,,
20200829,IN,92434,10839,3285
,,,,
20200828,IN,91313,10818,3277
,,,,
20200827,IN,90504,10747,3266
,,,,
20200826,IN,89359,10605,3259
,,,,
20200825,IN,88421,10417,3241
,,,,
20200824,IN,87592,10343,3225
,,,,
20200823,IN,85932,10281,3220
,,,,
20200822,IN,85317,10219,3218
,,,,
20200821,IN,84317,10132,3208
,,,,
20200820,IN,83277,10145,3191
,,,,
20200819,IN,82336,10090,3180
,,,,
20200818,IN,81847,10037,3165
,,,,
20200817,IN,81006,9973,3135
,,,,
20200816,IN,80415,9935,3133
,,,,
20200815,IN,79676,9872,3128
,,,,
20200814,IN,78632,9801,3113
,,,,
20200813,IN,77565,9678,3105
,,,,
20200812,IN,76522,9678,3086
,,,,
20200811,IN,75862,9599,3069
,,,,
20200810,IN,74992,9354,3044
,,,,
20200809,IN,74328,9354,3041
,,,,
20200808,IN,73287,9354,3036
,,,,
20200807,IN,72254,9354,3023
,,,,
20200806,IN,71015,9267,3013
,,,,
20200805,IN,69975,9148,3007
,,,,
20200804,IN,69255,9148,2996
,,,,
20200803,IN,68433,9004,2980
,,,,
20200802,IN,67857,8848,2975
,,,,
20200801,IN,67122,8781,2971
,,,,
20200731,IN,66154,8727,2965
,,,,
20200730,IN,65253,8667,2946
,,,,
20200729,IN,64299,8587,2932
,,,,
20200728,IN,63678,8505,2924
,,,,
20200727,IN,62907,8444,2906
,,,,
20200726,IN,62372,8401,2903
,,,,
20200725,IN,61520,8180,2895
,,,,
20200724,IN,60598,8128,2884
,,,,
20200723,IN,59602,8066,2880
,,,,
20200722,IN,58673,8020,2863
,,,,
20200721,IN,57916,7941,2846
,,,,
20200720,IN,57206,7941,2825
,,,,
20200719,IN,56571,7895,2822
,,,,
20200718,IN,55654,7861,2820
,,,,
20200717,IN,54813,7814,2803
,,,,
20200716,IN,54080,7747,2795
,,,,
20200715,IN,53370,7686,2785
,,,,
20200714,IN,52685,7633,2775
,,,,
20200713,IN,52037,7574,2762
,,,,
20200712,IN,51612,7527,2760
,,,,
20200711,IN,51079,7458,2756
,,,,
20200710,IN,50300,7458,2748
,,,,
20200709,IN,49575,7386,2739
,,,,
20200708,IN,49063,7365,2732
,,,,
20200707,IN,48626,7333,2717
,,,,
20200706,IN,48331,7285,2698
,,,,
20200705,IN,48008,7254,2693
,,,,
20200704,IN,47432,7216,2687
,,,,
20200703,IN,46915,7175,2681
,,,,
20200702,IN,46387,7139,2662
,,,,
20200701,IN,45952,7095,2650
,,,,
20200630,IN,45594,7065,2640
,,,,
20200629,IN,45228,7024,2624
,,,,
20200628,IN,44930,7003,2619
,,,,
20200627,IN,44575,6982,2616
,,,,
20200626,IN,44140,6944,2595
,,,,
20200625,IN,43655,6912,2586
,,,,
20200624,IN,43140,6883,2578
,,,,
20200623,IN,42871,6853,2569
,,,,
20200622,IN,42633,6819,2553
,,,,
20200621,IN,42423,6788,2540
,,,,
20200620,IN,42061,6755,2536
,,,,
20200619,IN,41746,6731,2516
,,,,
20200618,IN,41438,6589,2491
,,,,
20200617,IN,41013,6526,2475
,,,,
20200616,IN,40786,6481,2447
,,,,
20200615,IN,40430,6451,2433
,,,,
20200614,IN,39909,6419,2422
,,,,
20200613,IN,39543,6349,2413
,,,,
20200612,IN,39146,6349,2396
,,,,
20200611,IN,38748,6314,2380
,,,,
20200610,IN,38337,6261,2355
,,,,
20200609,IN,38033,6225,2339
,,,,
20200608,IN,37623,6179,2316
,,,,
20200607,IN,37397,6136,2303
,,,,
20200606,IN,36997,6091,2292
,,,,
20200605,IN,36578,6053,2258
,,,,
20200604,IN,36096,5999,2231
,,,,
20200603,IN,35712,5952,2207
,,,,
20200602,IN,35237,5902,2197
,,,,
20200601,IN,34830,5860,2142
,,,,
20200531,IN,34574,5285,2134
,,,,
20200530,IN,34211,5285,2125
,,,,
20200529,IN,33558,5285,2110
,,,,
20200528,IN,33068,5285,2068
,,,,
20200527,IN,32437,5285,2030
,,,,
20200526,IN,32078,5285,2004
,,,,
20200525,IN,31715,5285,1976
,,,,
20200524,IN,31376,5285,1976
,,,,
20200523,IN,30901,5285,1943
,,,,
20200522,IN,30409,5285,1941
,,,,
20200521,IN,29936,4389,1913
,,,,
20200520,IN,29274,4389,1864
,,,,
20200519,IN,28705,4389,1824
,,,,
20200518,IN,28255,4389,1765
,,,,
20200517,IN,27778,4389,1751
,,,,
20200516,IN,27280,4389,1741
,,,,
20200515,IN,26655,4389,1691
,,,,
20200514,IN,26053,4389,1646
,,,,
20200513,IN,25473,4389,1619
,,,,
20200512,IN,25127,4389,1578
,,,,
20200511,IN,24627,4389,1540
,,,,
20200510,IN,24126,4389,1508
,,,,
20200509,IN,23732,4389,1490
,,,,
20200508,IN,23146,4389,1447
,,,,
20200507,IN,22503,,1414
,,,,
20200506,IN,21870,,1377
,,,,
20200505,IN,21033,,1326
,,,,
20200504,IN,20507,,1264
,,,,
20200503,IN,19933,,1246
,,,,
20200502,IN,19295,,1229
,,,,
20200501,IN,18630,,1175
,,,,
20200430,IN,17835,,1114
,,,,
20200429,IN,17182,,1065
,,,,
20200428,IN,16588,,901
,,,,
20200427,IN,15961,,844
,,,,
20200426,IN,15012,,813
,,,,
20200425,IN,14395,,785
,,,,
20200424,IN,13680,,741
,,,,
20200423,IN,13039,,706
,,,,
20200422,IN,12438,,661
,,,,
20200421,IN,12097,,630
,,,,
20200420,IN,11686,,569
,,,,
20200419,IN,11210,,562
,,,,
20200418,IN,10641,,545
,,,,
20200417,IN,10154,,519
,,,,
20200416,IN,9542,,477
,,,,
20200415,IN,8955,,436
,,,,
20200414,IN,8527,,388
,,,,
20200413,IN,8236,,350
,,,,
20200412,IN,7928,,343
,,,,
20200411,IN,7435,,330
,,,,
20200410,IN,6907,,300
,,,,
20200409,IN,6351,,245
,,,,
20200408,IN,5943,,203
,,,,
20200407,IN,5507,,173
,,,,
20200406,IN,4944,,139
,,,,
20200405,IN,4411,,127
,,,,
20200404,IN,3953,,116
,,,,
20200403,IN,3437,,102
,,,,
20200402,IN,3039,,78
,,,,
20200401,IN,2565,,65
,,,,
20200331,IN,2159,,49
,,,,
20200330,IN,1786,,35
,,,,
20200329,IN,1514,,32
,,,,
20200328,IN,1232,,31
,,,,
20200327,IN,981,,24
,,,,
20200326,IN,645,,17
,,,,
20200325,IN,477,1,14
,,,,
20200324,IN,365,1,12
,,,,
20200323,IN,259,1,7
,,,,
20200322,IN,201,1,6
,,,,
20200321,IN,126,1,4
,,,,
20200320,IN,79,,2
,,,,
20200319,IN,56,,2
,,,,
20200318,IN,39,,2
,,,,
20200317,IN,30,,2
,,,,
20201202,KS,162061,5290,1679
,,,,
20201201,KS,157446,5105,1560
,,,,
20201130,KS,157446,5105,1560
,,,,
20201129,KS,153021,5018,1529
,,,,
20201128,KS,153021,5018,1529
,,,,
20201127,KS,153021,5018,1529
,,,,
20201126,KS,147797,4921,1503
,,,,
20201125,KS,147797,4921,1503
,,,,
20201124,KS,142059,4777,1456
,,,,
20201123,KS,142059,4777,1456
,,,,
20201122,KS,134533,4682,1410
,,,,
20201121,KS,134533,4682,1410
,,,,
20201120,KS,134533,4682,1410
,,,,
20201119,KS,128594,4561,1326
,,,,
20201118,KS,128594,4561,1326
,,,,
20201117,KS,122741,4431,1266
,,,,
20201116,KS,122741,4431,1266
,,,,
20201115,KS,115507,4327,1256
,,,,
20201114,KS,115507,4327,1256
,,,,
20201113,KS,115507,4327,1256
,,,,
20201112,KS,109225,4252,1215
,,,,
20201111,KS,109225,4252,1215
,,,,
20201110,KS,103553,4138,1181
,,,,
20201109,KS,103553,4138,1181
,,,,
20201108,KS,97633,4067,1166
,,,,
20201107,KS,97633,4067,1166
,,,,
20201106,KS,97633,4067,1166
,,,,
20201105,KS,92215,3984,1087
,,,,
20201104,KS,92215,3984,1087
,,,,
20201103,KS,89227,3893,1046
,,,,
20201102,KS,89227,3893,1046
,,,,
20201101,KS,85181,3832,1029
,,,,
20201031,KS,85181,3832,1029
,,,,
20201030,KS,85181,3832,1029
,,,,
20201029,KS,82045,3752,1007
,,,,
20201028,KS,82045,3752,1007
,,,,
20201027,KS,78676,3646,976
,,,,
20201026,KS,78676,3646,976
,,,,
20201025,KS,76230,3584,975
,,,,
20201024,KS,76230,3584,975
,,,,
20201023,KS,76230,3584,975
,,,,
20201022,KS,74456,3506,952
,,,,
20201021,KS,74456,3506,952
,,,,
20201020,KS,72968,3421,872
,,,,
20201019,KS,72968,3421,872
,,,,
20201018,KS,70855,3370,859
,,,,
20201017,KS,70855,3370,859
,,,,
20201016,KS,70855,3370,859
,,,,
20201015,KS,69155,3309,838
,,,,
20201014,KS,69155,3309,838
,,,,
20201013,KS,67862,3239,771
,,,,
20201012,KS,67862,3239,771
,,,,
20201011,KS,65807,3185,763
,,,,
20201010,KS,65807,3185,763
,,,,
20201009,KS,65807,3185,763
,,,,
20201008,KS,63952,3121,723
,,,,
20201007,KS,63952,3121,723
,,,,
20201006,KS,62708,3036,706
,,,,
20201005,KS,62708,3036,706
,,,,
20201004,KS,61111,2983,698
,,,,
20201003,KS,61111,2983,698
,,,,
20201002,KS,61111,2983,698
,,,,
20201001,KS,59749,2917,678
,,,,
20200930,KS,59749,2917,678
,,,,
20200929,KS,58629,2852,637
,,,,
20200928,KS,58629,2852,637
,,,,
20200927,KS,56592,2816,632
,,,,
20200926,KS,56592,2816,632
,,,,
20200925,KS,56592,2816,632
,,,,
20200924,KS,55226,2766,621
,,,,
20200923,KS,55226,2766,621
,,,,
20200922,KS,53959,2706,600
,,,,
20200921,KS,53959,2706,600
,,,,
20200920,KS,52285,2671,596
,,,,
20200919,KS,52285,2671,596
,,,,
20200918,KS,52285,2671,596
,,,,
20200917,KS,50870,2616,586
,,,,
20200916,KS,50870,2616,586
,,,,
20200915,KS,49899,2572,534
,,,,
20200914,KS,49899,2572,534
,,,,
20200913,KS,48386,2537,511
,,,,
20200912,KS,48386,2537,511
,,,,
20200911,KS,48386,2537,511
,,,,
20200910,KS,47410,2470,495
,,,,
20200909,KS,47410,2470,495
,,,,
20200908,KS,46914,2441,485
,,,,
20200907,KS,46914,2441,485
,,,,
20200906,KS,45220,2415,481
,,,,
20200905,KS,45220,2415,481
,,,,
20200904,KS,45220,2415,481
,,,,
20200903,KS,43940,2361,458
,,,,
20200902,KS,43940,2361,458
,,,,
20200901,KS,42612,2304,446
,,,,
20200831,KS,42612,2304,446
,,,,
20200830,KS,41048,2278,443
,,,,
20200829,KS,41048,2278,443
,,,,
20200828,KS,41048,2278,443
,,,,
20200827,KS,39937,2226,437
,,,,
20200826,KS,39937,2226,437
,,,,
20200825,KS,38401,2183,426
,,,,
20200824,KS,38401,2183,426
,,,,
20200823,KS,36856,2159,419
,,,,
20200822,KS,36856,2159,419
,,,,
20200821,KS,36856,2159,419
,,,,
20200820,KS,35890,2090,411
,,,,
20200819,KS,35890,2090,411
,,,,
20200818,KS,35167,2034,405
,,,,
20200817,KS,35167,2034,405
,,,,
20200816,KS,33885,2020,402
,,,,
20200815,KS,33885,2020,402
,,,,
20200814,KS,33885,2020,402
,,,,
20200813,KS,32547,1975,395
,,,,
20200812,KS,32547,1975,395
,,,,
20200811,KS,31730,1911,387
,,,,
20200810,KS,31730,1911,387
,,,,
20200809,KS,30638,1875,380
,,,,
20200808,KS,30638,1875,380
,,,,
20200807,KS,30638,1875,380
,,,,
20200806,KS,29717,1821,368
,,,,
20200805,KS,29717,1821,368
,,,,
20200804,KS,28876,1782,365
,,,,
20200803,KS,28876,1782,365
,,,,
20200802,KS,27812,1751,358
,,,,
20200801,KS,27812,1751,358
,,,,
20200731,KS,27812,1751,358
,,,,
20200730,KS,26870,1700,349
,,,,
20200729,KS,26870,1700,349
,,,,
20200728,KS,26172,1644,335
,,,,
20200727,KS,26172,1644,335
,,,,
20200726,KS,25109,1596,326
,,,,
20200725,KS,25109,1596,326
,,,,
20200724,KS,25109,1596,326
,,,,
20200723,KS,24104,1545,308
